Rank,Release Group,Worldwide,Domestic,%,Foreign,%
183,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
184,Shirley,"$225,436",-,-,"$225,436",100%
185,National Lampoon's Christmas Vacation 2020 Re-release,"$220,000","$220,000",100%,-,-
186,I Am Woman,"$191,517",-,-,"$191,517",100%
187,Billie,"$191,050",-,-,"$191,050",100%
188,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
189,The Wolf of Snow Hollow,"$185,026","$185,026",100%,-,-
190,Six Minutes to Midnight,"$181,216",-,-,"$181,216",100%
191,Lucky Grandma,"$173,504","$102,000",58.8%,"$71,504",41.2%
192,The Booksellers,"$171,552","$25,694",15%,"$145,858",85%
193,We Summon the Darkness,"$168,473","$60,794",36.1%,"$107,679",63.9%
194,Cruel Peter,"$163,925",-,-,"$163,925",100%
195,A Call to Spy,"$163,085","$154,885",95%,"$8,200",5%
196,Ammonite,"$160,930","$160,930",100%,-,-
197,Halloween 2020 Re-release,"$160,000","$160,000",100%,-,-
198,Frozen 2020 Re-release,"$156,993","$155,000",98.7%,"$1,993",1.3%
199,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
200,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
201,The Silencing,"$141,479","$100,746",71.2%,"$40,733",28.8%
202,Incitement,"$140,306","$140,306",100%,-,-
203,Most Wanted,"$138,000","$138,000",100%,-,-
204,Beneath Us,"$137,260","$137,260",100%,-,-
205,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
206,Only,"$125,603",-,-,"$125,603",100%
207,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
208,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
209,Heaven,"$111,232","$111,232",100%,-,-
210,Miss Juneteenth,"$105,908","$92,349",87.2%,"$13,559",12.8%
211,The Roads Not Taken,"$105,439","$3,518",3.3%,"$101,921",96.7%
212,First Cow,"$101,068","$101,068",100%,-,-
213,First Lady,"$93,298","$93,298",100%,-,-
214,Max Winslow and the House of Secrets,"$89,532","$31,250",34.9%,"$58,282",65.1%
215,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
216,Nomad: In the Footsteps of Bruce Chatwin,"$78,100",-,-,"$78,100",100%
217,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
